"filename", "language", "C++", "Markdown", "XML", "YAML", "Python", "CMake", "comment", "blank", "total"
"/home/sunny/workspace_private/3rd-test-learning/18. cmake/src/main.cc", "C++", 5, 0, 0, 0, 0, 0, 8, 1, 14
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw1_ceres_ndt/ceres_ndt.cpp", "C++", 43, 0, 0, 0, 0, 0, 29, 25, 97
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw1_ceres_ndt/ceres_ndt_se3.h", "C++", 161, 0, 0, 0, 0, 0, 19, 47, 227
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw1_ceres_ndt/filter.hpp", "C++", 20, 0, 0, 0, 0, 0, 11, 5, 36
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw1_ceres_ndt/icp_registration.hpp", "C++", 154, 0, 0, 0, 0, 0, 27, 46, 227
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw2_SC/Scancontext.cpp", "C++", 276, 0, 0, 0, 0, 0, 45, 97, 418
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw2_SC/Scancontext.h", "C++", 71, 0, 0, 0, 0, 0, 11, 30, 112
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw2_SC/robot_relocalization_node.cpp", "C++", 181, 0, 0, 0, 0, 0, 10, 43, 234
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw2_SC/sc_loop.cpp", "C++", 176, 0, 0, 0, 0, 0, 45, 67, 288
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw2_SC/sc_loop.h", "C++", 54, 0, 0, 0, 0, 0, 7, 13, 74
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw3_calibra/SO3_RK4_test.cpp", "C++", 113, 0, 0, 0, 0, 0, 50, 22, 185
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw3_calibra/hw_3_2_accel.cpp", "C++", 110, 0, 0, 0, 0, 0, 15, 23, 148
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw3_calibra/hw_3_2_gyro.cpp", "C++", 146, 0, 0, 0, 0, 0, 17, 28, 191
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw3_calibra/hw_3_3.cpp", "C++", 418, 0, 0, 0, 0, 0, 103, 91, 612
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw3_calibra/hw_3_4.cpp", "C++", 173, 0, 0, 0, 0, 0, 12, 22, 207
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw3_calibra/read_csv.h", "C++", 66, 0, 0, 0, 0, 0, 29, 14, 109
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw4_filter/ImuTypes.cc", "C++", 419, 0, 0, 0, 0, 0, 31, 71, 521
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw4_filter/ImuTypes.h", "C++", 125, 0, 0, 0, 0, 0, 27, 30, 182
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw4_filter/ekf.cpp", "C++", 18, 0, 0, 0, 0, 0, 9, 9, 36
"/home/sunny/workspace_private/3rd-test-learning/19. sensor_funsion_hw/hw4_filter/ekf.h", "C++", 83, 0, 0, 0, 0, 0, 9, 24, 116
"/home/sunny/workspace_private/3rd-test-learning/2. io/csv/read_csv.h", "C++", 66, 0, 0, 0, 0, 0, 29, 14, 109
"/home/sunny/workspace_private/3rd-test-learning/2. io/rosbag_convert/rosbag_convert.cpp", "C++", 69, 0, 0, 0, 0, 0, 12, 20, 101
"/home/sunny/workspace_private/3rd-test-learning/2. io/rosbag_convert/rosbag_extract.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/sunny/workspace_private/3rd-test-learning/2. io/synthesis/csv_to_rosbag.cpp", "C++", 61, 0, 0, 0, 0, 0, 7, 10, 78
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/ROS2_demo_nodes.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 13, 34
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/ROS2_tutorial_action_server.md", "Markdown", 0, 133, 0, 0, 0, 0, 0, 17, 150
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/ROS2_tutorial_launch.md", "Markdown", 0, 35, 0, 0, 0, 0, 0, 15, 50
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/launch/for_include.py", "Python", 0, 0, 0, 0, 21, 0, 1, 8, 30
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/launch/localization_launch.py", "Python", 0, 0, 0, 0, 67, 0, 22, 19, 108
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/launch/navigation_launch.py", "Python", 0, 0, 0, 0, 99, 0, 23, 25, 147
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/launch/test_param_launch.py", "Python", 0, 0, 0, 0, 19, 0, 2, 9, 30
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/launch/test_remap_launch.py", "Python", 0, 0, 0, 0, 26, 0, 3, 5, 34
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/launch/test_rosparam_launch.py", "Python", 0, 0, 0, 0, 29, 0, 5, 11, 45
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/package.xml", "XML", 0, 0, 17, 0, 0, 0, 0, 5, 22
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/param/test_rosparam.yaml", "YAML", 0, 0, 0, 16, 0, 0, 0, 5, 21
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/param/test_target_manager.yaml", "YAML", 0, 0, 0, 16, 0, 0, 0, 1, 17
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/param/test_yaml_write.yaml", "YAML", 0, 0, 0, 14, 0, 0, 0, 0, 14
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/param/test_yaml_write_save.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/ros2_group_learing_rqt.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/src/bug_foxy_ros_ok.cpp", "C++", 11, 0, 0, 0, 0, 0, 8, 7, 26
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/src/test_1to2_node.cpp", "C++", 41, 0, 0, 0, 0, 0, 4, 8, 53
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/src/test_param_node.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 7, 24
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/src/test_remap_pub_node.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/src/test_remap_sub_node.cpp", "C++", 24, 0, 0, 0, 0, 0, 9, 8, 41
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/src/test_rosparam_node.cpp", "C++", 28, 0, 0, 0, 0, 0, 2, 12, 42
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/src/test_rqt_dynamic_reconfigure_node.cpp", "C++", 27, 0, 0, 0, 0, 0, 4, 11, 42
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/src/test_rviz_target_print.cpp", "C++", 10, 0, 0, 0, 0, 0, 20, 13, 43
"/home/sunny/workspace_private/3rd-test-learning/20. ros-foxy/src/test_ros2/src/test_yaml_write.cpp", "C++", 61, 0, 0, 0, 0, 0, 15, 13, 89
"/home/sunny/workspace_private/3rd-test-learning/21. boost/filesystem/filesystem_test.cpp", "C++", 70, 0, 0, 0, 0, 0, 9, 11, 90
"/home/sunny/workspace_private/3rd-test-learning/22. gtsam/learning_example/exercise1_create_factor_graph.cpp", "C++", 18, 0, 0, 0, 0, 0, 10, 9, 37
"/home/sunny/workspace_private/3rd-test-learning/25. slam_demo/PnP.cpp", "C++", 47, 0, 0, 0, 0, 0, 13, 16, 76
"/home/sunny/workspace_private/3rd-test-learning/25. slam_demo/build_test_environment.h", "C++", 84, 0, 0, 0, 0, 0, 17, 12, 113
"/home/sunny/workspace_private/3rd-test-learning/25. slam_demo/environment_test.cpp", "C++", 27, 0, 0, 0, 0, 0, 9, 10, 46
"/home/sunny/workspace_private/3rd-test-learning/26. opencv/basic_io.cpp", "C++", 18, 0, 0, 0, 0, 0, 8, 5, 31
"/home/sunny/workspace_private/3rd-test-learning/26. opencv/orb_and_pnp.cpp", "C++", 0, 0, 0, 0, 0, 0, 8, 1, 9
"/home/sunny/workspace_private/3rd-test-learning/27. parallel_program/test.cpp", "C++", 52, 0, 0, 0, 0, 0, 7, 11, 70
"/home/sunny/workspace_private/3rd-test-learning/4. sophus/sophus_test.cpp", "C++", 26, 0, 0, 0, 0, 0, 12, 17, 55
"/home/sunny/workspace_private/3rd-test-learning/5. gtest/gtest_1.cpp", "C++", 15, 0, 0, 0, 0, 0, 8, 6, 29
"/home/sunny/workspace_private/3rd-test-learning/5. gtest/gtest_2.cpp", "C++", 18, 0, 0, 0, 0, 0, 8, 13, 39
"/home/sunny/workspace_private/3rd-test-learning/5. gtest/gtest_3.cpp", "C++", 45, 0, 0, 0, 0, 0, 9, 12, 66
"/home/sunny/workspace_private/3rd-test-learning/5. gtest/gtest_test_f.cpp", "C++", 45, 0, 0, 0, 0, 0, 10, 19, 74
"/home/sunny/workspace_private/3rd-test-learning/6. yaml/test-config.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/sunny/workspace_private/3rd-test-learning/6. yaml/yaml-test.cpp", "C++", 7, 0, 0, 0, 0, 0, 7, 7, 21
"/home/sunny/workspace_private/3rd-test-learning/7. eigen/eigen-test-array-vector.cpp", "C++", 10, 0, 0, 0, 0, 0, 10, 6, 26
"/home/sunny/workspace_private/3rd-test-learning/7. eigen/eigen_affine.cpp", "C++", 0, 0, 0, 0, 0, 0, 7, 1, 8
"/home/sunny/workspace_private/3rd-test-learning/7. eigen/eigen_llt.cpp", "C++", 16, 0, 0, 0, 0, 0, 8, 5, 29
"/home/sunny/workspace_private/3rd-test-learning/7. eigen/eigen_template_transpose.cpp", "C++", 17, 0, 0, 0, 0, 0, 7, 3, 27
"/home/sunny/workspace_private/3rd-test-learning/7. eigen/omp_test.cpp", "C++", 36, 0, 0, 0, 0, 0, 8, 12, 56
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_API_learning/2nd-basic-test.cpp", "C++", 66, 0, 0, 0, 0, 0, 12, 21, 99
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_API_learning/3rd-basic-test.cpp", "C++", 107, 0, 0, 0, 0, 0, 15, 13, 135
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_API_learning/4th-basic-test.cpp", "C++", 127, 0, 0, 0, 0, 0, 36, 21, 184
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_API_learning/5th-how-to-write-function-usable-in-ceres.cpp", "C++", 58, 0, 0, 0, 0, 0, 18, 18, 94
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_API_learning/6th-a-value-return-function-for-autodiff.cpp", "C++", 58, 0, 0, 0, 0, 0, 23, 17, 98
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_API_learning/7th-value-jacobian-return-function-for-autodiff.cpp", "C++", 55, 0, 0, 0, 0, 0, 13, 16, 84
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_API_learning/8th-numericalDiff-example.cpp", "C++", 0, 0, 0, 0, 0, 0, 7, 1, 8
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_API_learning/9th-analytic-derivation.cpp", "C++", 38, 0, 0, 0, 0, 0, 16, 11, 65
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_API_learning/basic-test.cpp", "C++", 29, 0, 0, 0, 0, 0, 22, 16, 67
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_pnp/PNPSimulation.cpp", "C++", 138, 0, 0, 0, 0, 0, 16, 46, 200
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_pnp/PNPSimulation.h", "C++", 75, 0, 0, 0, 0, 0, 3, 21, 99
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_pnp/README.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 9, 22
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_pnp/main.cpp", "C++", 15, 0, 0, 0, 0, 0, 4, 7, 26
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_self_example/ceres_icp_analystic_se3.cpp", "C++", 158, 0, 0, 0, 0, 0, 44, 49, 251
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_self_example/ceres_icp_analystic_se3_test.cpp", "C++", 161, 0, 0, 0, 0, 0, 33, 49, 243
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_self_example/ceres_icp_autodiff_q_r3.cpp", "C++", 125, 0, 0, 0, 0, 0, 24, 39, 188
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_self_example/ceres_icp_pose_graph.cpp", "C++", 0, 0, 0, 0, 0, 0, 10, 1, 11
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_self_example/ceres_ndt_analystic_se3.h", "C++", 161, 0, 0, 0, 0, 0, 19, 47, 227
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/ceres_self_example/eigen_icp_so3_r3.cpp", "C++", 160, 0, 0, 0, 0, 0, 16, 34, 210
"/home/sunny/workspace_private/3rd-test-learning/8. ceres/data.hpp", "C++", 70, 0, 0, 0, 0, 0, 8, 2, 80
"/home/sunny/workspace_private/3rd-test-learning/9. ros-melodic/src/ros-melodic-bug/package.xml", "XML", 0, 0, 32, 0, 0, 0, 36, 13, 81
"/home/sunny/workspace_private/3rd-test-learning/9. ros-melodic/src/ros-melodic-bug/src/1. rate_also_Time.cpp", "C++", 9, 0, 0, 0, 0, 0, 13, 3, 25
"/home/sunny/workspace_private/3rd-test-learning/9. ros-melodic/src/ros-melodic-test/include/ros-melodic-test/test-use-function.hpp", "C++", 26, 0, 0, 0, 0, 0, 9, 3, 38
"/home/sunny/workspace_private/3rd-test-learning/9. ros-melodic/src/ros-melodic-test/package.xml", "XML", 0, 0, 32, 0, 0, 0, 36, 13, 81
"/home/sunny/workspace_private/3rd-test-learning/9. ros-melodic/src/ros-melodic-test/src/9.1 set-polygen-in-rviz.cpp", "C++", 45, 0, 0, 0, 0, 0, 9, 8, 62
"/home/sunny/workspace_private/3rd-test-learning/9. ros-melodic/src/ros-melodic-test/src/9.2 set-logging-level.cpp", "C++", 13, 0, 0, 0, 0, 0, 8, 6, 27
"/home/sunny/workspace_private/3rd-test-learning/9. ros-melodic/src/ros-melodic-test/src/9.3 visualizetion_msgs-test.cpp", "C++", 234, 0, 0, 0, 0, 0, 11, 49, 294
"/home/sunny/workspace_private/3rd-test-learning/9. ros-melodic/src/ros-melodic-test/src/9.4 multiple-nodehandle-test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/sunny/workspace_private/3rd-test-learning/9. ros-melodic/src/ros-melodic-test/src/9.5.1 multiple-spinner-test.cpp", "C++", 15, 0, 0, 0, 0, 0, 12, 8, 35
"/home/sunny/workspace_private/3rd-test-learning/9. ros-melodic/src/ros-melodic-test/src/9.5.2 spinner-with-callbackqueue.cpp", "C++", 29, 0, 0, 0, 0, 0, 21, 15, 65
"/home/sunny/workspace_private/3rd-test-learning/9. ros-melodic/src/ros-melodic-test/src/viz-template.cpp", "C++", 659, 0, 0, 0, 0, 0, 10, 89, 758
"/home/sunny/workspace_private/3rd-test-learning/cmake/PCL.cmake", "CMake", 0, 0, 0, 0, 0, 3, 0, 2, 5
"/home/sunny/workspace_private/3rd-test-learning/cmake/ceres.cmake", "CMake", 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/sunny/workspace_private/3rd-test-learning/cmake/eigen3.cmake", "CMake", 0, 0, 0, 0, 0, 2, 0, 0, 2
"/home/sunny/workspace_private/3rd-test-learning/cmake/g2o.cmake", "CMake", 0, 0, 0, 0, 0, 123, 0, 15, 138
"/home/sunny/workspace_private/3rd-test-learning/cmake/omp.cmake", "CMake", 0, 0, 0, 0, 0, 12, 0, 1, 13
"/home/sunny/workspace_private/3rd-test-learning/cmake/opencv.cmake", "CMake", 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/sunny/workspace_private/3rd-test-learning/cmake/ros1.cmake", "CMake", 0, 0, 0, 0, 0, 10, 0, 1, 11
"/home/sunny/workspace_private/3rd-test-learning/cmake/sophus.cmake", "CMake", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/sunny/workspace_private/3rd-test-learning/doc/paper/2020.11.16 - 2020.11.27 论文阅读.md", "Markdown", 0, 121, 0, 0, 0, 0, 0, 43, 164
"/home/sunny/workspace_private/3rd-test-learning/doc/sensor_fusion/chapter3/chapter3_error_analysis.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 13, 52
"Total", "-", 7215, 362, 81, 49, 261, 169, 1751, 2083, 11971
